nombre,correo,ciclo,carrera,codigo
Ila Hodges,ilahodges1861@utec.edu,1,Ingenieria electronica,202272956
Noah Bishop,noahbishop3844@utec.edu,6,Ingenieria de la energia,202184952
Angelica Morrow,angelicamorrow1777@utec.edu,7,Ingenieria mecanica,202398375
Roary Hays,roaryhays@utec.edu,2,Administracion de negocios,202374020
Sierra Vaughan,sierravaughan@utec.edu,7,Administracion de negocios,202323123
Cain Moore,cainmoore6064@utec.edu,5,Ingenieria industrial,202131122
Dillon Owens,dillonowens2476@utec.edu,6,CS,202214397
Ahmed Cobb,ahmedcobb7101@utec.edu,7,CS,202362992
Bianca Rhodes,biancarhodes@utec.edu,7,CS,202209898
Jaden Munoz,jadenmunoz2765@utec.edu,5,Ingenieria quimica,202326820
Yolanda Erickson,yolandaerickson@utec.edu,6,Bioingenieria,202229709
Susan Marshall,susanmarshall@utec.edu,2,Ingenieria mecanica,202229308
Shelly Joseph,shellyjoseph5034@utec.edu,6,Ingenieria quimica,202105860
Colby Rush,colbyrush@utec.edu,1,Ingenieria ambiental,202205449
Pascale Mcintosh,pascalemcintosh4319@utec.edu,4,Ingenieria quimica,202312816
Elvis Knowles,elvisknowles825@utec.edu,8,Ingenieria mecatronica,202271753
Zachery Talley,zacherytalley2666@utec.edu,5,CS,202259335
Inga Reese,ingareese1116@utec.edu,5,CS,202315848
Hunter Williamson,hunterwilliamson@utec.edu,2,CS,202284868
Alfreda Carpenter,alfredacarpenter6496@utec.edu,6,Ingenieria ambiental,202271693
Benedict Reynolds,benedictreynolds906@utec.edu,5,Ingenieria ambiental,202225795
Mariam Carson,mariamcarson@utec.edu,6,CS,202280528
Illiana Thornton,illianathornton@utec.edu,9,Ingenieria mecatronica,202135620
Miranda Weeks,mirandaweeks@utec.edu,3,Ingenieria mecanica,202118583
Wing Ramirez,wingramirez579@utec.edu,7,Ingenieria mecatronica,202144524
Indigo Barnes,indigobarnes@utec.edu,10,Administracion de negocios,202227799
John Walters,johnwalters@utec.edu,6,Ingenieria mecatronica,202159927
Imelda Sherman,imeldasherman@utec.edu,9,Ingenieria mecatronica,202390404
Isaiah Phillips,isaiahphillips@utec.edu,8,Ingenieria industrial,202187477
Shad Talley,shadtalley@utec.edu,7,Ingenieria ambiental,202344960
Lunea Arnold,luneaarnold@utec.edu,6,Ingenieria ambiental,202350509
Ivy Vazquez,ivyvazquez@utec.edu,2,Ingenieria mecanica,202392664
Leigh Oneil,leighoneil@utec.edu,3,Ingenieria industrial,202348133
Regan Casey,regancasey4471@utec.edu,6,Ingenieria mecatronica,202333071
Sawyer Coffey,sawyercoffey@utec.edu,4,Ingenieria de la energia,202330463
Davis Finch,davisfinch@utec.edu,9,Ingenieria de la energia,202332687
Samson Jimenez,samsonjimenez9614@utec.edu,7,Ingenieria industrial,202199139
Cole Franco,colefranco@utec.edu,6,Ingenieria ambiental,202165026
Olympia Shelton,olympiashelton@utec.edu,8,Ingenieria electronica,202181394
Shea Bell,sheabell3240@utec.edu,2,Ingenieria electronica,202269399
Cedric Benson,cedricbenson@utec.edu,1,DS,202397779
Rahim Garza,rahimgarza6665@utec.edu,2,Administracion de negocios,202374127
Branden Knapp,brandenknapp1847@utec.edu,3,Administracion de negocios,202340520
Leo Castaneda,leocastaneda@utec.edu,4,Ingenieria ambiental,202142483
Maisie Carver,maisiecarver@utec.edu,9,Ingenieria electronica,202368150
Illiana Ortega,illianaortega@utec.edu,9,Ingenieria de la energia,202302689
Christopher Forbes,christopherforbes@utec.edu,8,CS,202332165
Ashton Mathis,ashtonmathis4678@utec.edu,3,Ingenieria electronica,202347371
Irma Morris,irmamorris5563@utec.edu,9,Bioingenieria,202330415
Beau Abbott,beauabbott8716@utec.edu,8,Ingenieria de la energia,202386915
Brent Ratliff,brentratliff6649@utec.edu,2,Ingenieria ambiental,202365524
Kato Charles,katocharles@utec.edu,2,Ingenieria de la energia,202146025
Ruth Pena,ruthpena@utec.edu,1,Ingenieria electronica,202333554
Holly Charles,hollycharles@utec.edu,10,Ingenieria industrial,202374977
Quyn Booker,quynbooker@utec.edu,7,Ingenieria civil,202327063
Jenette Sullivan,jenettesullivan@utec.edu,9,Bioingenieria,202320710
Jakeem Parks,jakeemparks@utec.edu,3,Ingenieria mecatronica,202206710
Olga Patton,olgapatton8776@utec.edu,5,Ingenieria mecatronica,202386966
Cooper Hopper,cooperhopper@utec.edu,7,Ingenieria industrial,202110481
Desiree Yang,desireeyang@utec.edu,7,Ingenieria industrial,202343415
Claudia Butler,claudiabutler@utec.edu,3,CS,202389811
Uriel Weber,urielweber@utec.edu,3,Ingenieria civil,202173276
Dominic Ryan,dominicryan@utec.edu,6,CS,202248589
Lisandra York,lisandrayork4048@utec.edu,6,Bioingenieria,202160726
Chancellor Walker,chancellorwalker1414@utec.edu,6,Ingenieria electronica,202372476
Brent Hoffman,brenthoffman@utec.edu,9,Ingenieria civil,202399902
Evangeline Blake,evangelineblake5856@utec.edu,6,Ingenieria civil,202184932
Hu Key,hukey@utec.edu,6,Ingenieria de la energia,202262682
Mannix Wynn,mannixwynn8014@utec.edu,3,CS,202222866
Igor Dejesus,igordejesus7523@utec.edu,1,CS,202299404
Helen Lopez,helenlopez@utec.edu,2,Ingenieria ambiental,202389702
Nolan Blake,nolanblake293@utec.edu,9,DS,202394450
Shaine Madden,shainemadden953@utec.edu,9,Ingenieria industrial,202101181
Bradley Alvarado,bradleyalvarado@utec.edu,4,Ingenieria mecatronica,202194010
Lester Rodriguez,lesterrodriguez@utec.edu,3,Ingenieria electronica,202148684
Jasmine Petty,jasminepetty@utec.edu,8,DS,202328502
John Reyes,johnreyes@utec.edu,6,DS,202197859
Cassidy Barber,cassidybarber@utec.edu,5,Ingenieria electronica,202159776
Mollie Wells,molliewells@utec.edu,7,Administracion de negocios,202370743
Alexa Mcintosh,alexamcintosh@utec.edu,9,Ingenieria ambiental,202293084
Guinevere Buchanan,guineverebuchanan3719@utec.edu,3,Ingenieria de la energia,202252631
Gretchen Case,gretchencase2053@utec.edu,6,Ingenieria de la energia,202241940
Jaime Black,jaimeblack@utec.edu,3,Ingenieria mecanica,202346527
Cody Nieves,codynieves@utec.edu,8,Ingenieria civil,202211102
Kalia Horn,kaliahorn@utec.edu,7,Bioingenieria,202344012
Briar Fry,briarfry2964@utec.edu,8,Administracion de negocios,202105196
Cyrus Robbins,cyrusrobbins@utec.edu,1,Ingenieria quimica,202204374
Perry Suarez,perrysuarez@utec.edu,5,Ingenieria industrial,202339786
Brynn Pollard,brynnpollard@utec.edu,4,Ingenieria quimica,202184444
Zeus Newman,zeusnewman@utec.edu,10,CS,202306391
Eaton Dixon,eatondixon@utec.edu,1,Ingenieria ambiental,202166444
Kiara Fowler,kiarafowler@utec.edu,9,Ingenieria mecatronica,202211060
Declan Gamble,declangamble3364@utec.edu,5,Ingenieria quimica,202353977
Jada Collier,jadacollier@utec.edu,9,DS,202377631
Kirsten Porter,kirstenporter@utec.edu,10,CS,202287647
Wayne Gaines,waynegaines9815@utec.edu,2,Ingenieria mecatronica,202186398
Silas Riddle,silasriddle@utec.edu,6,Ingenieria ambiental,202318642
Pamela Mercado,pamelamercado7691@utec.edu,3,Ingenieria electronica,202274992
Burton Valenzuela,burtonvalenzuela7082@utec.edu,5,DS,202132039
Vaughan Sharp,vaughansharp4406@utec.edu,8,Ingenieria mecanica,202371589
Allegra Jarvis,allegrajarvis@utec.edu,9,Ingenieria de la energia,202212161
Keefe Short,keefeshort8843@utec.edu,7,Ingenieria civil,202311304
Cooper Allen,cooperallen@utec.edu,2,Ingenieria de la energia,202157120
Logan Holman,loganholman2585@utec.edu,6,Ingenieria industrial,202167010
Jarrod Cabrera,jarrodcabrera@utec.edu,6,Ingenieria de la energia,202218263
Arsenio Tucker,arseniotucker@utec.edu,2,Ingenieria de la energia,202274980
Grady Lucas,gradylucas@utec.edu,5,Ingenieria ambiental,202251168
Ignacia Conley,ignaciaconley@utec.edu,5,Ingenieria electronica,202386029
Oren Bright,orenbright@utec.edu,6,Ingenieria de la energia,202228463
Jaden Clemons,jadenclemons6780@utec.edu,3,DS,202382524
Luke Coffey,lukecoffey@utec.edu,6,Administracion de negocios,202222635
Mariko Lambert,marikolambert@utec.edu,9,Ingenieria electronica,202364680
Sylvester Chase,sylvesterchase9722@utec.edu,2,DS,202117968
Jessica Atkins,jessicaatkins@utec.edu,5,Ingenieria electronica,202267662
Emerald Mccall,emeraldmccall@utec.edu,6,Bioingenieria,202399402
Willow Best,willowbest@utec.edu,9,Ingenieria de la energia,202313136
Garth Soto,garthsoto2166@utec.edu,3,Ingenieria electronica,202144297
Florence Meyer,florencemeyer@utec.edu,4,DS,202397974
Ivory Leach,ivoryleach@utec.edu,2,Ingenieria civil,202310751
Silas Sellers,silassellers@utec.edu,4,Ingenieria electronica,202124244
Sade Oliver,sadeoliver5786@utec.edu,8,Administracion de negocios,202177288
Xaviera Lloyd,xavieralloyd1697@utec.edu,6,Ingenieria quimica,202150558
Barclay Walker,barclaywalker2671@utec.edu,8,Ingenieria mecatronica,202317274
Jada Nichols,jadanichols5107@utec.edu,1,CS,202248386
Amena Moreno,amenamoreno7265@utec.edu,3,Ingenieria mecatronica,202253129
Perry Austin,perryaustin5694@utec.edu,4,Administracion de negocios,202119077
Harper Russell,harperrussell3536@utec.edu,3,DS,202368571
James Cameron,jamescameron@utec.edu,3,Ingenieria mecanica,202318762
Jessamine Salazar,jessaminesalazar@utec.edu,7,Ingenieria quimica,202266002
Eliana Nixon,eliananixon@utec.edu,5,Administracion de negocios,202367570
Kennedy Preston,kennedypreston5251@utec.edu,9,Ingenieria de la energia,202174345
Omar Herman,omarherman6807@utec.edu,5,Ingenieria civil,202208535
Akeem Hines,akeemhines649@utec.edu,7,Ingenieria quimica,202398649
Ivan Steele,ivansteele@utec.edu,2,Ingenieria quimica,202309824
Yoshio Reese,yoshioreese9911@utec.edu,7,Ingenieria electronica,202321580
Hamilton Rios,hamiltonrios@utec.edu,8,Ingenieria mecatronica,202245174
Ignatius Flowers,ignatiusflowers@utec.edu,1,Ingenieria ambiental,202261919
Raphael Cooley,raphaelcooley5701@utec.edu,7,Ingenieria civil,202187880
Cheryl Vinson,cherylvinson4371@utec.edu,4,Ingenieria de la energia,202267770
Georgia Buckner,georgiabuckner6749@utec.edu,3,CS,202350425
Samuel Vaughn,samuelvaughn1641@utec.edu,3,Ingenieria quimica,202357592
Myra Lancaster,myralancaster1514@utec.edu,4,CS,202229836
Claudia David,claudiadavid9250@utec.edu,7,Ingenieria mecanica,202389331
Mason Soto,masonsoto673@utec.edu,5,Ingenieria mecanica,202114623
William Stout,williamstout4724@utec.edu,9,Ingenieria industrial,202118043
Kasimir Rosario,kasimirrosario@utec.edu,6,CS,202137950
Tobias Wilder,tobiaswilder2168@utec.edu,4,Ingenieria ambiental,202207446
Bevis Workman,bevisworkman298@utec.edu,4,Ingenieria mecanica,202332395
Lee Mcbride,leemcbride9506@utec.edu,6,Ingenieria electronica,202387658
Matthew Schneider,matthewschneider@utec.edu,4,Ingenieria quimica,202139762
Iliana Mccullough,ilianamccullough5273@utec.edu,7,DS,202261657
Gemma Caldwell,gemmacaldwell3794@utec.edu,5,Ingenieria electronica,202121065
Marcia Wynn,marciawynn8954@utec.edu,3,DS,202171521
Dora Wilkinson,dorawilkinson9109@utec.edu,6,Ingenieria mecanica,202339772
Christian Colon,christiancolon@utec.edu,6,Ingenieria quimica,202152084
Asher Ruiz,asherruiz2901@utec.edu,2,Ingenieria quimica,202325393
Alice Michael,alicemichael@utec.edu,3,Ingenieria mecanica,202157896
Coby Howe,cobyhowe@utec.edu,5,Ingenieria industrial,202395894
Leilani Boone,leilaniboone@utec.edu,5,Ingenieria de la energia,202347373
Bell Chapman,bellchapman7594@utec.edu,2,Ingenieria civil,202126824
Barrett Roy,barrettroy7599@utec.edu,6,Ingenieria mecanica,202190607
Blossom Cooke,blossomcooke@utec.edu,4,Ingenieria mecanica,202121984
Roth Rutledge,rothrutledge1717@utec.edu,3,Ingenieria de la energia,202314991
Geraldine Merrill,geraldinemerrill@utec.edu,8,Administracion de negocios,202158058
Hasad Mcfadden,hasadmcfadden8061@utec.edu,2,DS,202376548
Axel Donovan,axeldonovan@utec.edu,6,Ingenieria quimica,202129242
Xyla Foster,xylafoster7034@utec.edu,6,Ingenieria industrial,202354164
Otto Jennings,ottojennings6420@utec.edu,8,Ingenieria ambiental,202129079
Kibo Petersen,kibopetersen@utec.edu,6,Ingenieria quimica,202343954
Kelsey Spence,kelseyspence8954@utec.edu,7,Ingenieria mecatronica,202219401
Chandler Buckner,chandlerbuckner4939@utec.edu,10,Ingenieria mecanica,202146584
Jorden Maxwell,jordenmaxwell7702@utec.edu,7,Ingenieria quimica,202300910
Kasper Yates,kasperyates1329@utec.edu,9,Administracion de negocios,202369283
Curran Montoya,curranmontoya9711@utec.edu,3,Ingenieria mecanica,202363809
Rylee Mccullough,ryleemccullough@utec.edu,8,DS,202210039
Briar Woods,briarwoods@utec.edu,1,Ingenieria mecanica,202360858
Beck Mccall,beckmccall@utec.edu,1,Ingenieria quimica,202377857
Abraham Morrow,abrahammorrow@utec.edu,1,CS,202171741
Zachary Knapp,zacharyknapp8985@utec.edu,5,Ingenieria civil,202294800
Brody Higgins,brodyhiggins8586@utec.edu,1,Bioingenieria,202221286
Claire Montgomery,clairemontgomery@utec.edu,1,Ingenieria quimica,202276438
Justin Huber,justinhuber@utec.edu,8,DS,202327574
Demetrius Noel,demetriusnoel@utec.edu,4,Ingenieria de la energia,202113101
Pamela Bowman,pamelabowman@utec.edu,6,Ingenieria ambiental,202267728
Raphael Emerson,raphaelemerson@utec.edu,2,Ingenieria ambiental,202354109
Carly Wilcox,carlywilcox@utec.edu,4,Ingenieria industrial,202146252
Rebekah Buchanan,rebekahbuchanan@utec.edu,2,Ingenieria mecanica,202289730
Scarlett Gibson,scarlettgibson@utec.edu,10,Ingenieria ambiental,202129689
Nolan Nelson,nolannelson3469@utec.edu,7,Ingenieria de la energia,202212796
Graiden Holland,graidenholland@utec.edu,6,Bioingenieria,202141387
Melyssa Mckee,melyssamckee455@utec.edu,5,Ingenieria mecanica,202309225
Charity Juarez,charityjuarez@utec.edu,5,Ingenieria quimica,202251784
Scott Horne,scotthorne518@utec.edu,2,Ingenieria industrial,202327654
Damon Watkins,damonwatkins4475@utec.edu,5,Ingenieria industrial,202283009
Justin Cantu,justincantu@utec.edu,4,Ingenieria mecatronica,202299676
Bertha Haney,berthahaney108@utec.edu,2,Ingenieria de la energia,202297822
Reece Savage,reecesavage@utec.edu,5,Ingenieria mecanica,202302759
Gil Morin,gilmorin6275@utec.edu,4,DS,202288734
Lucius Taylor,luciustaylor5303@utec.edu,1,Ingenieria mecanica,202141470
Amos Bonner,amosbonner3825@utec.edu,8,Ingenieria industrial,202275284
Hadassah Fields,hadassahfields@utec.edu,6,Ingenieria industrial,202325271
Solomon Morris,solomonmorris@utec.edu,2,Ingenieria de la energia,202380460
Janna Guerra,jannaguerra@utec.edu,7,Ingenieria mecanica,202327720
Deacon Maldonado,deaconmaldonado9056@utec.edu,3,DS,202114788
Samuel Wynn,samuelwynn@utec.edu,4,Ingenieria electronica,202228739
Iona Landry,ionalandry@utec.edu,10,Ingenieria quimica,202366074
Briar Goodwin,briargoodwin5472@utec.edu,8,Ingenieria de la energia,202302259
Curran Richardson,curranrichardson5788@utec.edu,3,Bioingenieria,202368709
Catherine Hudson,catherinehudson@utec.edu,4,Ingenieria mecanica,202209456
Tate Herring,tateherring@utec.edu,5,Ingenieria quimica,202326894
Harrison Browning,harrisonbrowning8900@utec.edu,1,Ingenieria quimica,202267539
Aaron Douglas,aarondouglas8735@utec.edu,9,Ingenieria de la energia,202264365
Lev Beard,levbeard2143@utec.edu,7,Ingenieria quimica,202307024
Xandra Talley,xandratalley@utec.edu,10,DS,202343179
Lev Hebert,levhebert@utec.edu,7,DS,202188498
Aristotle Howell,aristotlehowell7239@utec.edu,3,Ingenieria de la energia,202261815
Keefe Byrd,keefebyrd3078@utec.edu,6,Ingenieria mecanica,202171804
Dana Hampton,danahampton8022@utec.edu,9,Administracion de negocios,202123727
Salvador Mcmillan,salvadormcmillan2177@utec.edu,6,Ingenieria industrial,202120004
Ocean Shannon,oceanshannon@utec.edu,2,CS,202265573
Bruno Barton,brunobarton7731@utec.edu,9,DS,202164563
Mikayla Stevenson,mikaylastevenson7959@utec.edu,2,DS,202240473
Calvin Potts,calvinpotts@utec.edu,6,Ingenieria mecatronica,202280085
Hedley Wright,hedleywright5163@utec.edu,3,DS,202150608
Gareth Ramsey,garethramsey7612@utec.edu,7,Ingenieria ambiental,202393187
Priscilla Chan,priscillachan@utec.edu,2,CS,202209433
Mark Holman,markholman@utec.edu,8,Ingenieria quimica,202134070
Idona Burton,idonaburton@utec.edu,9,DS,202232532
Shaeleigh Fitzpatrick,shaeleighfitzpatrick226@utec.edu,6,Ingenieria quimica,202312777
Forrest England,forrestengland9230@utec.edu,7,Ingenieria industrial,202207521
Cyrus Nunez,cyrusnunez9665@utec.edu,7,CS,202223582
Audra Fowler,audrafowler9008@utec.edu,7,Ingenieria ambiental,202146229
Jamal Wood,jamalwood8832@utec.edu,3,Ingenieria industrial,202234624
Dacey Kaufman,daceykaufman@utec.edu,8,Ingenieria de la energia,202201174
Drew Mcneil,drewmcneil@utec.edu,6,Ingenieria ambiental,202337903
Angela Mclaughlin,angelamclaughlin6755@utec.edu,9,Ingenieria quimica,202217562
Shana Durham,shanadurham@utec.edu,2,CS,202197388
Georgia Rasmussen,georgiarasmussen9319@utec.edu,8,Ingenieria quimica,202213666
Victor Johnson,victorjohnson6896@utec.edu,6,Ingenieria industrial,202377479
Oren England,orenengland6254@utec.edu,6,Bioingenieria,202343696
Jerry Gross,jerrygross8892@utec.edu,9,Bioingenieria,202302385
Todd Huffman,toddhuffman@utec.edu,8,Ingenieria ambiental,202215078
Yoshio Hansen,yoshiohansen@utec.edu,6,Ingenieria ambiental,202368593
Charissa Durham,charissadurham@utec.edu,7,Administracion de negocios,202338306
Mariko Pollard,marikopollard7559@utec.edu,8,Ingenieria industrial,202206330
Danielle Navarro,daniellenavarro@utec.edu,7,Administracion de negocios,202387840
Ryan Mcdonald,ryanmcdonald@utec.edu,5,CS,202102300
Evan Browning,evanbrowning@utec.edu,6,CS,202291531
Tanek Watson,tanekwatson@utec.edu,8,CS,202132742
Ebony Dean,ebonydean7944@utec.edu,6,Ingenieria de la energia,202248038
Noble Farrell,noblefarrell@utec.edu,10,CS,202218546
Olympia Mcneil,olympiamcneil3723@utec.edu,9,Ingenieria de la energia,202387102
Harper Mathews,harpermathews4984@utec.edu,7,Ingenieria industrial,202349402
Porter Hale,porterhale@utec.edu,8,Ingenieria electronica,202116331
Haley Fuentes,haleyfuentes@utec.edu,7,Ingenieria quimica,202316742
Ray Bryant,raybryant@utec.edu,10,Ingenieria electronica,202323631
Shafira Mullins,shafiramullins@utec.edu,9,CS,202266090
Troy Bell,troybell@utec.edu,1,Ingenieria mecatronica,202115300
Beatrice Jennings,beatricejennings2936@utec.edu,5,CS,202324362
Ramona Mccoy,ramonamccoy@utec.edu,10,Ingenieria electronica,202371988
Jin Compton,jincompton9342@utec.edu,8,CS,202283737
Martin Wallace,martinwallace1925@utec.edu,1,DS,202332915
Shaeleigh Bush,shaeleighbush9739@utec.edu,9,Bioingenieria,202244222
Edward Gill,edwardgill@utec.edu,7,Ingenieria mecanica,202360783
Aaron Boyd,aaronboyd@utec.edu,6,Ingenieria de la energia,202318986
Kennedy Walters,kennedywalters@utec.edu,5,Ingenieria mecanica,202234083
Cole Chase,colechase@utec.edu,9,Administracion de negocios,202135274
Teagan Webster,teaganwebster5878@utec.edu,9,Ingenieria mecatronica,202186860
Jonah Rodriguez,jonahrodriguez@utec.edu,9,DS,202382881
Brody Tran,brodytran@utec.edu,6,Ingenieria ambiental,202105173
Phyllis Bradley,phyllisbradley6445@utec.edu,3,Ingenieria quimica,202190295
Kitra Sullivan,kitrasullivan@utec.edu,5,DS,202390872
Angelica Bean,angelicabean@utec.edu,7,Ingenieria electronica,202362808
Oscar Washington,oscarwashington2438@utec.edu,2,Ingenieria mecanica,202315932
Andrew Mendez,andrewmendez@utec.edu,5,Bioingenieria,202323686
Nicholas Jackson,nicholasjackson8602@utec.edu,10,Ingenieria mecanica,202302503
Rooney Blackwell,rooneyblackwell1945@utec.edu,4,Ingenieria de la energia,202183362
Sara Mcbride,saramcbride@utec.edu,10,Ingenieria electronica,202332142
Nomlanga Mercado,nomlangamercado@utec.edu,9,Bioingenieria,202280299
Lesley Villarreal,lesleyvillarreal5486@utec.edu,8,Ingenieria quimica,202240353
Alika Warren,alikawarren@utec.edu,1,Ingenieria mecanica,202245903
Oprah Shaw,oprahshaw9326@utec.edu,10,DS,202310089
Idona Greer,idonagreer@utec.edu,5,Ingenieria quimica,202350663
Kirestin Todd,kirestintodd1251@utec.edu,4,Ingenieria civil,202344518
Willa Rivas,willarivas@utec.edu,5,Ingenieria industrial,202290582
Marvin Schultz,marvinschultz1531@utec.edu,9,Administracion de negocios,202116455
Scarlet Carey,scarletcarey2733@utec.edu,4,Administracion de negocios,202369712
Dolan Mcknight,dolanmcknight5969@utec.edu,4,Ingenieria industrial,202195559
Tyler Bartlett,tylerbartlett5531@utec.edu,4,Ingenieria industrial,202276086
Pascale Chambers,pascalechambers3593@utec.edu,8,Ingenieria electronica,202245795
Sopoline Melton,sopolinemelton@utec.edu,1,Ingenieria industrial,202212739
George Mejia,georgemejia@utec.edu,3,Ingenieria civil,202228472
Kirsten Tyson,kirstentyson9523@utec.edu,7,DS,202345356
Savannah Travis,savannahtravis8057@utec.edu,1,Ingenieria industrial,202269645
Sonya Donaldson,sonyadonaldson@utec.edu,6,Ingenieria quimica,202309398
Karina Eaton,karinaeaton@utec.edu,4,DS,202341826
Jackson Ortiz,jacksonortiz2883@utec.edu,3,Ingenieria civil,202227576
Rae Hopper,raehopper9793@utec.edu,10,Administracion de negocios,202261913
Veda Hendricks,vedahendricks@utec.edu,9,Ingenieria quimica,202271439
Noel Briggs,noelbriggs@utec.edu,10,Administracion de negocios,202264017
Echo Byers,echobyers@utec.edu,9,Ingenieria mecatronica,202356142
Zorita Malone,zoritamalone4338@utec.edu,2,Bioingenieria,202133494
Fuller Tanner,fullertanner8058@utec.edu,2,Bioingenieria,202188258
Zelda Quinn,zeldaquinn@utec.edu,3,Ingenieria civil,202198757
Angelica Blankenship,angelicablankenship@utec.edu,5,Administracion de negocios,202347581
Jane Maddox,janemaddox2115@utec.edu,3,Ingenieria de la energia,202297966
Rebecca Martinez,rebeccamartinez2345@utec.edu,7,Ingenieria industrial,202248925
Lillith Ware,lillithware@utec.edu,1,Administracion de negocios,202195632
Chadwick Phelps,chadwickphelps@utec.edu,8,Ingenieria civil,202256326
Marny Travis,marnytravis676@utec.edu,2,Bioingenieria,202300543
Hasad Hurst,hasadhurst3021@utec.edu,5,Ingenieria mecanica,202361833
Gareth Norton,garethnorton5330@utec.edu,4,Bioingenieria,202243039
Moses Strong,mosesstrong7411@utec.edu,2,DS,202182516
Marny Rivas,marnyrivas5839@utec.edu,8,Ingenieria quimica,202174201
Calvin Albert,calvinalbert1709@utec.edu,9,Ingenieria industrial,202266035
Breanna Boyle,breannaboyle@utec.edu,5,Ingenieria industrial,202249814
Ulysses Blanchard,ulyssesblanchard4745@utec.edu,7,Bioingenieria,202283269
Ahmed Buck,ahmedbuck@utec.edu,4,Ingenieria mecatronica,202160781
Farrah Gill,farrahgill@utec.edu,5,Bioingenieria,202163268
Randall Harrington,randallharrington6862@utec.edu,2,Ingenieria electronica,202146436
Nadine Ford,nadineford@utec.edu,4,Ingenieria electronica,202112163
